Genus_and_species,superkingdom,phylum,class,order,family,genus,GC_genome,genome_size,GC_16SrRMA,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Trange
Acidicapsa ligni,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidicapsa,51.7,,55.8,10,25,22,28,33,23
Acidiferrobacter thiooxydans,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Acidiferrobacter,,,55.2,21,38,,,47,26
Acidihalobacter prosperus,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Acidihalobacter,59.9,3.6,55.8,23,37,,,41,18
Acidilobus aceticus,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,53.8,,66.1,60,85,,,92,32
Acidilobus saccharovorans,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,57.2,1.5,67.3,60,82.5,80,85,90,30
Acidilobus sulfurireducens,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,59.9,,67.7,62,81,,,89,27
Acidimicrobium ferrooxidans,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,68.3,2.2,60.3,34,48,,,57,23
Acidiphilium cryptum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,69,,57,15,33.5,30,37,42,27
Acidiphilium multivorum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,67,4.2,56.7,17,31,27,35,42,25
Acidiphilium organovorum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,67.5,,57,15,27.5,25,30,42,27
Acidiphilium iwatense,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,62.7,,56.5,22,30,,,35,13
Acidiphilium acidophilum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,63.1,,56.2,15,27.5,25,30,35,20
Acidiphilium rubrum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,63,,55.7,15,27.5,25,30,35,20
Acidipila rosea,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidipila,59.5,,55,22,30,,,37,15
Acidipila dinghuensis,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidipila,56.3,,54.5,10,32.5,28,37,37,27
Acidiplasma aeolicum,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,36,,51.8,15,45,,,65,50
Acidiplasma cupricumulans,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,36,,51.8,22,53.6,,,63,41
Acidipropionibacterium microaerophilum,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,67.7,,57.7,20,30,,,45,25
Acidipropionibacterium damnosum,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,67.5,,58,20,30,,,42,22
Acidipropionibacterium olivae,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,70,,58.1,20,30,,,42,22
Acidipropionibacterium virtanenii,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,68.4,3.4,57.4,12,30,,,37,25
Acidisoma sibiricum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidisoma,60.9,,56.3,2,22.5,20,25,30,28
Acidisoma tundrae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidisoma,61.9,,56.7,2,18.5,15,22,30,28
Acidisphaera rubrifaciens,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidisphaera,69.5,,58.2,20,32.5,30,35,42,22
Aciditerrimonas ferrireducens,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Aciditerrimonas,74.1,,61.2,35,50,,,58,23
Acidithiobacillus caldus,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,61.4,3,57.9,32,45,,,52,20
Acidithiobacillus ferridurans,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,,2.9,56.6,10,29,,,37,27
Acidithiobacillus ferrooxidans,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,58.8,3,56.3,10,32.5,30,35,37,27
Acidithiobacillus ferrivorans,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,56.6,3.2,56.5,4,29.5,27,32,37,33
Acidithiobacillus thiooxidans,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,52,,56.5,10,29,28,30,37,27
Acidithiobacillus ferriphilus,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,57.4,,56.5,5,30,,,33,28
Acidithiobacillus ferrianus,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,58.2,,57,20,29,28,30,32,12
Acidithrix ferrooxidans,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidithrix,57.4,,56.2,10,22.5,20,25,30,20
Acidobacterium ailaaui,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,57.2,,56.6,15,40,,,55,40
Acidocella aluminiidurans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella,65.6,,54.9,17,37,,,42,25
Acidocella aromatica,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella,62.8,,54.4,15,30,,,37.5,22.5
Acidocella aquatica,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella,62.6,,55,4,28,,,35,31
Acidothermus cellulolyticus,Bacteria,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus,66.9,2.4,60.8,37,55,,,65,28
Acidovorax soli,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,60.9,,54.6,10,30,,,42,32
Acidovorax lacteus,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,66.8,,55.3,15,25,,,42,27
Acidovorax carolinensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,64.2,4.1,53.9,4,31.25,30,32.5,40,36
Acidovorax kalamii,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,65.7,,54.9,20,30,,,37,17
Aciduliprofundum boonei,Archaea,Euryarchaeota,,,,Aciduliprofundum,39.2,1.5,62,55,70,,,75,20
Acinetobacter larvae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,41.6,3.7,52.9,10,32.5,30,35,45,35
Acinetobacter lactucae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,4,52.8,15,30,,,44,29
Acinetobacter antiviralis,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,44,,52.9,10,30,,,42,32
Acinetobacter puyangensis,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,42.8,,52.2,10,30,,,41,31
Acinetobacter soli,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,42.8,3.6,52.7,10,30,,,40,30
Acinetobacter refrigeratoris,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,,53.5,10,29,28,30,40,30
Acinetobacter oleivorans,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,38.7,4.2,52.7,20,30,,,37,17
Acinetobacter piscicola,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,37.2,,52.4,4,26.5,25,28,32,28
Acinetobacter apis,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,40.6,,52.4,15,25,,,30,15
Actibacter sediminis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Actibacter,44,,50.4,5,37,,,45,40
Actibacter haliotis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Actibacter,42.6,,50.8,15,25,,,30,15
Actibacterium atlanticum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Actibacterium,59,,54.7,10,28,,,41,31
Actibacterium ureilyticum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Actibacterium,60.1,,55,15,30,,,40,25
