Genus_and_species,superkingdom,phylum,class,order,family,genus,GC_genome,genome_size,GC_16SrRMA,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Trange
Nocardioides endophyticus,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,68.5,,57.8,10,30,,,37,27
Nocardioides daejeonensis,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,71.2,,57.8,15,30,,,37,22
Nocardioides iriomotensis,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,73.7,,58,12,30,,,37,25
Nocardioides ginsengagri,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,70.3,,57.9,10,30,,,37,27
Nocardioides daedukensis,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,68.7,,58.2,4,30,,,37,33
Nocardioides fonticola,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,71.8,,58.2,25,30,,,37,12
Nocardioides hwasunensis,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,71.7,,58.1,4,30,,,37,33
Nocardioides furvisabuli,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,69.1,,58.1,4,30,,,37,33
Nocardioides ginsengisoli,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,70.2,,57.2,15,30,,,37,22
Nocardioides litorisoli,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,71.1,,58.1,16,28,,,37,21
Nocardioides pacificus,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,74.6,,58.7,4,28,,,37,33
Nocardioides mesophilus,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,68.7,,58,20,28,,,37,17
Nocardioides albus,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,68.6,,57.8,15,28,,,37,22
Nocardioides antarcticus,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,66.7,,56.9,4,20,,,37,33
Nocardioides maradonensis,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,71.7,,57.7,20,33.5,30,37,37,17
Nocardioides zeicaulis,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,,,58,10,29,28,30,37,27
Nocardioides panaciterrulae,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,70.8,,58.3,4,27.5,25,30,37,33
Nocardioides ginsengisegetis,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,71.6,,57.6,4,27.5,25,30,37,33
Nocardioides rubriscoriae,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,71.6,,57.7,4,25,20,30,37,33
Nocardioides flava,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,70.8,,57.6,10,24,18,30,37,27
Nocardioides hungaricus,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,71,,57.9,20,24,20,28,37,17
Nocardioides zeae,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,,,58.6,15,28,,,36,21
Nocardioides marinquilinus,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,71.6,,58.4,10,30,,,35,25
Nocardioides caeni,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,71.5,,57.8,10,30,,,35,25
Nocardioides exalbidus,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,74,,58.2,15,30,,,35,20
Nocardioides allogilvus,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,69.9,,57.6,4,28,,,35,31
Nocardioides kandeliae,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,70.8,,58.7,10,28,,,35,25
Nocardioides cavernae,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,71.4,,58.1,4,28,,,35,31
Nocardioides albidus,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,72.2,,58,20,28,,,35,15
Nocardioides agariphilus,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,69.4,,57.9,25,28,,,35,10
Nocardioides bigeumensis,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,69.3,,58.7,20,28,,,35,15
Nocardioides daecheongensis,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,64.9,,57.9,10,29,28,30,35,25
Nocardioides salarius,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,73.3,,58,10,27.5,25,30,35,25
Nocardioides insulae,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,71.1,,58.6,10,30,,,34,24
Nocardioides alkalitolerans,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,73,,57.8,4,30,,,34,30
Nocardioides terrae,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,71.6,,57.7,16,29,,,34,18
Nocardioides hankookensis,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,71.3,,58.3,10,25,,,34,24
Nocardioides immobilis,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,70.3,,57.4,16,28,,,32,16
Nocardioides sonneratiae,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,69.3,,59.2,15,28,,,32,17
Nocardioides glacieisoli,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,68,,58.1,0,20,,,32,32
Nocardioides panzhihuensis,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,70.1,,57.5,10,26.5,25,28,32,22
Nocardioides panacihumi,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,73,,58.5,15,30,,,30,15
Nocardioides litoris,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,68.8,,58.2,10,28,,,30,20
Nocardioides baekrokdamisoli,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,67,3,57.5,15,25,,,30,15
Nocardioides albertanoniae,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,69.7,,58.6,10,25,,,30,20
Nocardioides dokdonensis,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,72.3,4.4,58.1,4,25,,,30,26
Nocardioides intraradicalis,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,74.6,,58.5,15,29,28,30,30,15
Nocardioides alpinus,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,71.9,,58.1,1,25,,,25,24
Nocardioides salsibiostraticola,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,69.3,,57.7,5,20,,,25,20
Nocardiopsis chromatogenes,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,71.8,,60.2,20,38.5,37,40,60,40
Nocardiopsis rhodophaea,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,67.1,,58.7,20,38.5,37,40,60,40
Nocardiopsis rosea,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,67.9,,59.8,20,38.5,37,40,60,40
Nocardiopsis yanglingensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,67.1,,58.5,25,45,,,55,30
Nocardiopsis ansamitocini,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,70.2,,58.6,15,30,,,50,35
Nocardiopsis akesuensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,71.1,,59.2,25,28,,,50,25
Nocardiopsis baichengensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,73.2,,60.1,20,38.5,37,40,50,30
Nocardiopsis terrae,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,71.5,,58.3,10,30,,,45,35
Nocardiopsis valliformis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,70.6,,58.2,10,28,,,45,35
Nocardiopsis synnemasporogenes,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,,,58.3,10,33.5,30,37,45,35
Nocardiopsis trehalosi,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,,,59,18,32.5,28,37,45,27
Nocardiopsis algeriensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,,,59.1,20,30,25,35,45,25
Nocardiopsis alkaliphila,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,65.8,,57.8,10,29,28,30,45,35
Nocardiopsis nanhaiensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,71.6,,58.2,10,37,,,40,30
Nocardiopsis oceani,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,70.9,,58.4,15,37,,,40,25
Nocardiopsis flavescens,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,68.6,,59,23,35,,,40,17
Nocardiopsis rhizosphaerae,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,70.9,,60,20,30,,,40,20
Nocardiopsis salina,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,73.1,,59.4,20,28,,,40,20
Nocardiopsis mangrovei,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,73.7,,59.6,15,33.5,30,37,40,25
Nocardiopsis sediminis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,73.5,,58.9,20,26.5,25,28,40,20
Nocardiopsis nikkonensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,72.3,,59.1,10,30,,,37,27
Nocardiopsis fildesensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,76.8,,60.4,10,28,,,37,27
Nocardiopsis sinuspersici,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,71.6,,59,15,28,,,37,22
Nocardiopsis quinghaiensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,67.1,,59.2,10,28,,,37,27
Nocardiopsis halotolerans,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,68,,59.3,28,28,,,35,7
Nocardiopsis metallicus,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,70.8,,58.3,10,30,,,30,20
Nonlabens tegetincola,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,33.6,,49.9,12,32,28,36,44,32
Nonlabens halophilus,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,38.7,,51.7,10,30,,,37,27
Nonlabens arenilitoris,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,38.2,,50.8,10,27.5,25,30,37,27
Nonlabens spongiae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,41,,54.1,20,29,28,30,36,16
Nonlabens agnitus,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,37,,52.8,4,30,,,35,31
Nonlabens ulvanivorans,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,35.3,,50.7,4,25,20,30,35,31
Nonlabens dokdonensis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,35.3,3.9,50,4,25,,,32,28
Nonlabens aestuariivivens,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,38.1,,50.6,10,30,,,30,20
Nonlabens marinus,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,41.7,,51.7,10,22.5,20,25,30,20
Nonlabens antarcticus,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,37.9,,53.3,8,15,,,20,12
Nonomuraea thermotolerans,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,72.5,,60.3,25,46,37,55,60,35
Nonomuraea ceibae,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,66.2,,60.6,15,37,,,45,30
Nonomuraea jiangxiensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,72.6,,59.8,20,30,25,35,45,25
Nonomuraea indica,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,72.5,,60,10,29,28,30,45,35
Nonomuraea suaedae,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,71.9,,59.8,15,32.5,27,38,43,28
Nonomuraea rhizosphaerae,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,68.5,,59.9,10,28,,,40,30
Nonomuraea lycopersici,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,72.8,,60,15,28,,,40,25
Nonomuraea mangrovi,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,73.2,,60,16,28,,,40,24
Nonomuraea gerenzanensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,71.2,,60.4,22,32.5,28,37,40,18
Nonomuraea muscovyensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,69.6,,60.1,28,29,28,30,40,12
Nonomuraea purpurea,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,70.4,,59.5,10,26,22,30,40,30
Nonomuraea glycinis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,68.2,,59.5,10,28,,,37,27
Nonomuraea cavernae,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,64.2,,60.1,15,28,,,37,22
Nonomuraea fuscirosea,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,68.5,,59.9,16,28,,,37,21
Nonomuraea harbinensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,68,,59.8,10,28,,,37,27
Nonomuraea flavida,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,72.1,,60.5,10,28,,,37,27
Nonomuraea soli,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,66.4,,59.9,15,28,,,37,22
Nonomuraea jabiensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,69.6,,60.3,20,28,,,37,17
Nonomuraea wenchangensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,72,,59.5,20,28,,,37,17
Nonomuraea antimicrobica,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,69.2,,59.5,15,28,,,37,22
Nonomuraea rhizophila,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,69.3,,59.2,10,24,20,28,37,27
Nonomuraea endophytica,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,67.4,,60.3,10,24,20,28,37,27
Nonomuraea zeae,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,69.7,,59.9,15,28,,,35,20
Nonomuraea guangzhouensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,67.4,,59.7,4,28,,,32,28
Nonomuraea solani,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,64.5,,59.8,20,28,,,29,9
Nonomuraea shaanxiensis,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,69.1,,59.5,18,28,,,28,10
Nosocomiicoccus massiliensis,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Nosocomiicoccus,36.4,,52.3,25,37,,,45,20
Notoacmeibacter marinus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Notoacmeibacteraceae,Notoacmeibacter,61.5,,56.3,15,29,28,30,37,22
Novibacillus thermophilus,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Novibacillus,50.4,3.6,59.4,30,50,,,65,35
Noviherbaspirillum agri,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,65.2,,54.5,10,31,25,37,45,35
Noviherbaspirillum denitrificans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,61.8,,54.3,10,30,,,42,32
Noviherbaspirillum autotrophicum,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,59.9,,54.3,10,30,,,42,32
Noviherbaspirillum suwonense,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,,,54.3,10,28,,,40,30
Noviherbaspirillum massiliense,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,59.7,,54.9,20,32.5,28,37,40,20
Noviherbaspirillum soli,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,61.9,,53.8,15,28,,,37,22
Noviherbaspirillum aurantiacum,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,60.4,,53.4,15,28,,,37,22
Noviherbaspirillum canariense,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,61.6,,53.9,15,28,,,34,19
Noviherbaspirillum psychrotolerans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,62.5,,54,-5,17,14,20,30,35
Novimethylophilus kurashikiensis,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Novimethylophilus,56.1,,53.9,15,28,,,40,25
Novosphingobium endophyticum,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,66.6,,54.8,20,30,,,60,40
Novosphingobium humi,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,64.4,,53.9,15,30,,,45,30
Novosphingobium aquiterrae,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,62.7,,54.3,4,28,,,45,41
Novosphingobium naphthae,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,66.7,,54.8,12,31,25,37,42,30
Novosphingobium ginsenosidimutans,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,64.3,3.1,55,10,31,25,37,42,32
Novosphingobium lotistagni,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,63.1,,54.1,4,30,25,35,42,38
Novosphingobium pokkalii,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,68.3,,54.8,18,29,28,30,42,24
Novosphingobium indicum,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,62,,54.3,10,27.5,25,30,41,31
Novosphingobium chloroacetimidivorans,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,66,,54.6,5,30,,,40,35
Novosphingobium oryzae,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,60.8,,53.8,20,28,,,40,20
Novosphingobium arvoryzae,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,64.8,,54.1,10,20,,,40,30
Novosphingobium piscinae,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,65.2,,55.2,20,38.5,37,40,40,20
Novosphingobium marinum,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,57.7,,55.1,15,35,,,37,22
Novosphingobium fontis,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,66.6,,54.9,15,30,,,37,22
Novosphingobium kunmingense,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,65.3,,54.6,15,30,,,37,22
Novosphingobium naphthalenivorans,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,64.6,,54.5,15,30,,,37,22
Novosphingobium tardum,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,63.5,,54.8,15,28,,,37,22
Novosphingobium taihuense,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,63.3,,54.7,10,25,,,37,27
Novosphingobium colocasiae,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,65,,54.5,10,20,,,37,27
Novosphingobium sediminis,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,63.2,,53.9,18,32.5,28,37,37,19
Novosphingobium guangzhouense,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,60.2,,54.3,10,30,,,35,25
Novosphingobium nitrogenifigens,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,,,55,15,30,,,35,20
Novosphingobium clariflavum,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,65.9,,54,15,28,,,35,20
Novosphingobium lentum,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,66,,54.5,4,23,,,33,29
Novosphingobium malaysiense,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,63.3,,54.6,20,28,,,32,12
Novosphingobium lindaniclasticum,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,60.7,,54.8,25,28,,,32,7
Novosphingobium bradum,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,69.1,,55.4,15,20,,,30,15
Nubsella zeaxanthinifaciens,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Nubsella,38.6,,54.6,18,30,,,40,22
Oblitimonas alkaliphila,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Oblitimonas,47.4,2.5,52.8,10,27.5,20,35,42,32
Occallatibacter savannae,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Occallatibacter,58.5,,55.1,11,34.5,29,40,40,29
Occallatibacter riparius,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Occallatibacter,59.6,,55,11,31.5,26,37,40,29
Oceanibacterium hippocampi,Bacteria,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Oceanibacterium,57.8,,56.8,10,25,,,35,25
Oceanibaculum pacificum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Oceanibaculum,67.7,,56.8,10,32.5,28,37,45,35
Oceanibaculum nanhaiense,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Oceanibaculum,65.1,,56.4,10,31,25,37,45,35
Oceanibaculum indicum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Oceanibaculum,64.8,,56.9,10,31,25,37,42,32
Oceanicaulis stylophorae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Oceanicaulis,61.6,,56,15,37.5,35,40,45,30
Oceanicaulis alexandrii,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Oceanicaulis,61.8,,56,4,30,,,37,33
Oceanicella actignis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicella,71.2,,58.4,25,50,,,57.5,32.5
Oceanicoccus sagamiensis,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Oceanicoccus,47.7,4.5,53.5,10,17.5,15,20,30,20
Oceanicola litoreus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicola,67.6,,55.5,4,30,,,40,36
Oceanicola granulosus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicola,71.2,,55.3,4,28,,,40,36
Oceaniglobus indicus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceaniglobus,64.2,,55.7,5,31.5,28,35,37,32
Oceanihabitans sediminis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Oceanihabitans,34.2,,49.5,1,25,,,35,34
