,Genus_and_species,superkingdom,phylum,class,order,family,genus,GC_genome,genome_size,GC_16SrRNA,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Trange
8142,Thermococcus radiotolerans,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,55.6,1.9,65.3,55,88,,,95,40
8143,Thermococcus marinus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,52.3,,65.8,55,88,,,95,40
8144,Thermococcus gammatolerans,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,53.6,2,66.3,55,88,,,95,40
8145,Thermococcus nautili,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,54.8,2,66.4,55,87.5,,,95,40
8146,Thermococcus atlanticus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,50,,65.5,70,85,,,95,25
8147,Thermococcus barophilus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,41.7,2.1,66.3,48,85,,,95,47
8148,Thermococcus prieurii,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,53.6,,65.9,60,80,,,95,35
8149,Thermococcus piezophilus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,51.1,1.9,65.8,60,75,,,95,35
8150,Thermococcus aegaeus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,45,,65.2,50,89,88,90,95,45
8151,Thermococcus pacificus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,54.2,1.8,55.2,70,84,80,88,95,25
8152,Thermococcus gorgonarius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,51.7,1.7,55.7,68,84,80,88,95,27
8153,Thermococcus cleftensis,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,55.8,2,65.8,55,88,,,94,39
8154,Thermococcus aggregans,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,42,,64.9,60,88,,,94,34
8155,Thermococcus stetteri,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,50.2,,65.8,55,75,,,94,39
8156,Thermococcus thioreducens,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,53.5,2.1,65.6,55,84,83,85,94,39
8157,Thermococcus siculi,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,55,2,66,50,85,,,93,43
8158,Thermococcus acidaminovorans,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,49,,65.8,56,85,,,93,37
8159,Thermococcus chitonophagus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,44.9,2,66.6,60,85,,,93,33
8160,Thermococcus barossii,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,54.7,1.9,66,60,82.5,,,92,32
8161,Thermococcus paralvinellae,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,40.3,2,65.8,50,82,,,91,41
8162,Thermococcus guaymasensis,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,52.9,1.9,65.5,56,88,,,90,34
8163,Thermococcus coalescens,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,53.9,,65.8,57,87,,,90,33
8164,Thermococcus alcaliphilus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,42,,65.8,56,85,,,90,34
8165,Thermococcus waiotapuensis,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,50.4,,65.8,60,85,,,90,30
8166,Thermococcus onnurineus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,51.3,1.8,65.8,63,80,,,90,27
8167,Thermococcus profundus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,53.1,2,65.9,50,80,,,90,40
8168,Thermococcus sibiricus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,40.2,1.8,65,40,78,,,88,48
8169,Thermococcus celericrescens,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,54.6,,65.2,50,80,,,85,35
8170,Thermococcus zilligii,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,46.2,,65.9,55,77.5,75,80,85,30
8192,Thermodiscus maritimus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermodiscus,49,,67.2,75,90,,,98,23
8193,Thermofilum pendens,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermofilaceae,Thermofilum,57.7,1.8,65.2,85,87.5,,,100,15
8194,Thermofilum uzonense,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermofilaceae,Thermofilum,47.9,1.6,65.4,70,85,,,90,20
8200,Thermogladius calderae,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermogladius,55.6,1.4,66.6,80,84,,,95,15
8201,Thermogladius shockii,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermogladius,51.3,,66.5,64,84,,,93,29
8204,Thermogymnomonas acidicola,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,,Thermogymnomonas,56.1,,58.1,38,60,,,68,30
8225,Thermoplasma volcanium,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,39.9,1.6,54.7,33,60,,,67,34
8226,Thermoplasma acidophilum,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,46,1.6,54.9,45,59,,,63,18
8228,Thermoproteus uzoniensis,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,59.7,1.9,67.6,74,90,,,102,28
8229,Thermoproteus tenax,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,55.1,1.8,67.6,85,90,,,96,11
8230,Thermoproteus thermophilus,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,62,,68.3,75,85,,,90,15
8244,Thermosphaera aggregans,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermosphaera,46.7,1.3,67,65,85,,,90,25
8518,Vulcanisaeta moutnovskia,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,42.4,2.3,65.8,60,82.5,80,85,98,38
8519,Vulcanisaeta distributa,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,45.4,2.4,67.1,70,90,,,92,22
8520,Vulcanisaeta thermophila,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,43.1,,67.3,75,85,,,90,15
8521,Vulcanisaeta souniana,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,44.9,,68,65,85,,,89,24
8607,Zestosphaera tikiterensis,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Zestosphaera,41.9,,65.1,60,82.5,82,83,90,30
